Id,L0_S0_F0,L0_S0_F18,L0_S2_F52,L0_S3_F92,L0_S7_F136,L0_S9_F170,L0_S10_F224,L0_S10_F274,L0_S11_F318,L0_S12_F342,L0_S14_F366,L0_S15_F403,L0_S18_F435,L0_S21_F472,L0_S21_F522,L0_S22_F576,L0_S23_F627,L0_S23_F667,L1_S24_F733,L1_S24_F795,L1_S24_F834,L1_S24_F892,L1_S24_F953,L1_S24_F1000,L1_S24_F1026,L1_S24_F1083,L1_S24_F1126,L1_S24_F1176,L1_S24_F1240,L1_S24_F1298,L1_S24_F1356,L1_S24_F1401,L1_S24_F1451,L1_S24_F1502,L1_S24_F1567,L1_S24_F1604,L1_S24_F1662,L1_S24_F1728,L1_S24_F1778,L1_S24_F1814,L1_S24_F1838,L1_S25_F1869,L1_S25_F1909,L1_S25_F1963,L1_S25_F2016,L1_S25_F2066,L1_S25_F2116,L1_S25_F2161,L1_S25_F2190,L1_S25_F2226,L1_S25_F2258,L1_S25_F2312,L1_S25_F2365,L1_S25_F2411,L1_S25_F2437,L1_S25_F2462,L1_S25_F2487,L1_S25_F2514,L1_S25_F2569,L1_S25_F2623,L1_S25_F2677,L1_S25_F2716,L1_S25_F2741,L1_S25_F2767,L1_S25_F2795,L1_S25_F2842,L1_S25_F2896,L1_S25_F2950,L1_S25_F2997,L1_S25_F3020,L2_S26_F3047,L2_S26_F3121,L2_S27_F3170,L2_S28_F3241,L2_S28_F3311,L3_S29_F3342,L3_S29_F3376,L3_S29_F3412,L3_S29_F3449,L3_S29_F3479,L3_S30_F3519,L3_S30_F3569,L3_S30_F3614,L3_S30_F3664,L3_S30_F3714,L3_S30_F3764,L3_S30_F3814,L3_S33_F3855,L3_S34_F3876,L3_S35_F3908,L3_S37_F3944,L3_S39_F3972,L3_S41_F3996,L3_S41_F4018,L3_S43_F4090,L3_S44_F4121,L3_S47_F4158,L3_S48_F4200,L3_S50_F4241,L3_S51_F4262,Response,L0_S0_D1,L0_S3_D94,L0_S9_D197,L0_S11_D328,L0_S15_D413,L0_S21_D514,L0_S23_D649,L1_S24_D782,L1_S24_D904,L1_S24_D1023,L1_S24_D1143,L1_S24_D1257,L1_S24_D1403,L1_S24_D1522,L1_S24_D1639,L1_S24_D1785,L1_S25_D1857,L1_S25_D1980,L1_S25_D2128,L1_S25_D2214,L1_S25_D2314,L1_S25_D2434,L1_S25_D2499,L1_S25_D2615,L1_S25_D2729,L1_S25_D2794,L1_S25_D2932,L1_S25_D3025,L2_S26_D3122,L2_S28_D3227,L3_S29_D3331,L3_S29_D3415,L3_S30_D3501,L3_S30_D3651,L3_S30_D3796,L3_S35_D3895,L3_S40_D3987,L3_S42_D4053,L3_S47_D4170,L3_S51_D4263,L0_S1_F25,L0_S6_F133,L0_S10_F238,L0_S14_F367,L0_S21_F495,L0_S22_F585,L1_S24_F686,L1_S24_F769,L1_S24_F868,L1_S24_F956,L1_S24_F1064,L1_S24_F1167,L1_S24_F1263,L1_S24_F1350,L1_S24_F1440,L1_S24_F1542,L1_S24_F1638,L1_S24_F1726,L1_S25_F1861,L1_S25_F1962,L1_S25_F2050,L1_S25_F2142,L1_S25_F2286,L1_S25_F2376,L1_S25_F2546,L1_S25_F2635,L1_S25_F2774,L1_S25_F2882,L1_S25_F2973,L2_S26_F3105,L2_S27_F3202,L2_S28_F3298,L3_S29_F3446,L3_S30_F3557,L3_S30_F3648,L3_S30_F3740,L3_S30_F3832,L3_S42_F4031,L3_S46_F4136,L3_S49_F4240
50698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,-0.008,-0.058,,0.098,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.125,0.057,0.033,-0.024,-0.072,-0.092,0.0,-0.013,0.0,0.014,0.013,-0.301,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,,,,,,,,795.74,795.79,795.8,,,,,,,,,,,,,,,803.6,803.6,803.6,803.6,803.6,803.61,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,
51315,-0.003,0.168,0.0,,-0.164,,0.083,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.105,-0.104,0.082,-0.105,0.047,-0.099,-0.011,0.0,-0.003,0.0,0.012,0.013,-0.165,0.0,0.0,0.0,,,,,,,,,,0,556.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.18,558.18,558.18,558.18,558.18,558.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
15137,-0.075,0.013,0.0,,,,0.125,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,0.163,-0.725,0.205,,-0.046,,,,,0.011,0.013,0.017,0.0,,0.0,,,,,,,,,,0,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.6,5.6,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
52443,0.134,0.125,,0.019,0.336,,,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.081,0.011,0.063,-0.081,-0.055,-0.02,0.097,0.0,-0.003,0.0,0.01,0.013,0.062,0.0,0.0,0.0,,,,,,,,,,0,1245.1,1245.1,,1245.12,,,,,,,,,,,,,,,,,,,,,,,,,,,1248.81,1248.81,1248.81,1248.81,1248.81,1248.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
41282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,,,-0.033,,0.013,-0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236,0.024,,,,-0.031,0.011,0.063,-0.031,-0.051,0.033,-0.011,0.0,-0.003,0.0,0.009,0.013,0.108,0.0,,0.0,,,,,,,,,,0,,,,,,,,,,,,,,1176.14,,,,,,,,,,,,,,,1183.5,,1194.4,1194.4,1194.4,1194.4,1194.4,,,,,,,,,,,,,,,,,,,,,T1,,T1,,,,,,,,,,,,,,,,,,,,,,
36436,,,,,,,,,,0.03,,0.099,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.081,-0.04,0.082,-0.081,-0.063,0.112,-0.092,0.0,-0.012,0.0,0.009,0.013,-0.119,0.0,,0.0,,,,,,,,,,0,,,,,1383.63,,,,,,,,,,,,,,,,,,,,,,,,,,1389.82,1389.82,1389.83,1389.83,1389.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17079,-0.108,-0.062,,-0.081,0.336,,0.015,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.132,0.011,0.104,-0.132,-0.075,0.086,0.016,0.0,0.02,0.0,0.011,0.013,-0.074,0.0,,0.0,,,,,,,,,,0,1566.1,1566.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568.21,1568.21,1568.21,1568.21,1568.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
33812,-0.036,0.12,,0.019,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,0.125,0.082,0.046,0.114,-0.099,-0.011,0.0,0.013,0.0,0.01,0.013,0.017,0.0,,0.0,,,,,,,,,,0,559.35,559.36,,559.38,,,,,,,,,,,,,,,,,,,,,,,,,,,561.13,561.13,561.14,561.14,561.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26707,0.056,-0.062,,0.019,-0.164,,,,-0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.043,0.023,0.057,-0.043,-0.016,-0.151,0.043,0.0,-0.012,0.0,0.012,0.013,-0.256,0.0,,0.0,,,,,,,,,,0,618.7,618.7,,618.73,,,,,,,,,,,,,,,,,,,,,,,,,,,620.63,620.63,620.63,620.63,620.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.074,0.047,-0.036,,0.198,,-0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.064,0.024,,,,0.058,0.081,0.057,0.058,-0.035,-0.099,0.07,0.0,0.029,0.0,0.013,0.013,0.017,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,,,,,,,,769.09,769.13,769.13,,,,,,,,,,,,,787.5,,790.19,790.19,790.19,790.19,790.19,790.21,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,T1,,,,,,,
