feature,importance
L0_S0_F0,0.0
L1_S25_F2050,0.0
L3_S47_D4170,0.0
L3_S51_D4263,0.0
L0_S1_F25,0.0
L0_S6_F133,0.0
L0_S14_F367,0.0
L0_S21_F495,0.0
L1_S24_F686,0.0
L1_S24_F1167,0.0
L1_S24_F1350,0.0
L1_S24_F1440,0.0
L1_S25_F1861,0.0
L1_S25_F2142,0.0
L1_S24_D1023,0.0
L1_S25_F2286,0.0
L1_S25_F2376,0.0
L1_S25_F2546,0.0
L1_S25_F2774,0.0
L1_S25_F2882,0.0
L2_S26_F3105,0.0
L2_S27_F3202,0.0
L2_S28_F3298,0.0
L3_S30_F3557,0.0
L3_S30_F3648,0.0
L3_S30_F3740,0.0
L3_S42_D4053,0.0
L3_S40_D3987,0.0
L3_S35_D3895,0.0
L3_S30_D3796,0.0
L1_S24_D1257,0.0
L1_S24_D1403,0.0
L1_S24_D1522,0.0
L1_S24_D1639,0.0
L1_S24_D1785,0.0
L1_S25_D1857,0.0
L1_S25_D1980,0.0
L1_S25_D2128,0.0
L1_S25_D2214,0.0
L1_S25_D2314,0.0
L1_S25_D2434,0.0
L1_S25_D2499,0.0
L1_S25_D2615,0.0
L1_S25_D2729,0.0
L1_S25_D2794,0.0
L1_S25_D2932,0.0
L1_S25_D3025,0.0
L2_S26_D3122,0.0
L2_S28_D3227,0.0
L3_S29_D3331,0.0
