Id,risk_score,decision_threshold,is_actionable,risk_band,model_version,scoring_timestamp,missing_columns_filled,extra_columns_dropped,column_alignment_warning,recommended_action
22186,0.5818684968508646,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
5177,0.49683473006378975,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
5179,0.49683473006378975,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
5178,0.49683473006378975,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
32987,0.4099209898123647,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
12428,0.39202786101713066,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
21212,0.38318762088124914,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
40662,0.3820142097174445,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
43214,0.3633076131247409,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
24387,0.35589687571010986,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
24386,0.35589687571010986,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
28333,0.35102602196554406,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
41146,0.33944985342841355,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
37148,0.31046142255161524,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
11978,0.30901634223940233,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
40280,0.3086977713457503,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
13227,0.30236421774411215,0.01,True,High risk: inspect,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Inspect
23909,0.2992373836528318,0.01,True,Medium risk: monitor,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Monitor
37427,0.2982379955235636,0.01,True,Medium risk: monitor,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Monitor
21342,0.29359563562197166,0.01,True,Medium risk: monitor,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Monitor
21341,0.29359563562197166,0.01,True,Medium risk: monitor,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Monitor
5017,0.289203114355698,0.01,True,Medium risk: monitor,bosch-quality-risk-v0.2,2026-06-29T12:03:11.444424+00:00,0,1,True,Monitor
